file,year,subject,gender,grade,tokens,types,errors
graphvar/1983_BIO_GK1_01_M_09P.xml,1983,BIO,M,9,1034,441,24
graphvar/1983_BIO_GK1_02_M_05P.xml,1983,BIO,M,5,1129,458,33
graphvar/1983_BIO_GK1_03_W_03P.xml,1983,BIO,W,3,1032,392,37
graphvar/1983_BIO_GK1_04_M_02P.xml,1983,BIO,M,2,1323,449,55
graphvar/1983_BIO_GK1_05_W_05P.xml,1983,BIO,W,5,1087,419,28
graphvar/1983_BIO_GK1_06_M_03P.xml,1983,BIO,M,3,1099,399,64
graphvar/1983_BIO_GK1_07_M_07P.xml,1983,BIO,M,7,1467,509,113
graphvar/1983_BIO_GK1_08_M_05P.xml,1983,BIO,M,5,1334,461,90
graphvar/1983_BIO_LK1_01_M_09P.xml,1983,BIO,M,9,1284,417,42
graphvar/1983_BIO_LK1_02_M_01P.xml,1983,BIO,M,1,1217,454,31
graphvar/1983_BIO_LK1_03_W_05P.xml,1983,BIO,W,5,1493,462,38
graphvar/1983_BIO_LK1_04_M_12P.xml,1983,BIO,M,12,1746,479,83
graphvar/1983_BIO_LK1_05_W_03P.xml,1983,BIO,W,3,1384,434,46
graphvar/1983_BIO_LK1_07_M_03P.xml,1983,BIO,M,3,1176,387,43
graphvar/1983_BIO_LK1_08_M_07P.xml,1983,BIO,M,7,1183,437,31
graphvar/1983_BIO_LK1_09_W_08P.xml,1983,BIO,W,8,2203,572,51
graphvar/1983_BIO_LK1_10_W_05P.xml,1983,BIO,W,5,1371,365,12
graphvar/1983_BIO_LK1_11_M_08P.xml,1983,BIO,M,8,2073,544,27
graphvar/1983_BIO_LK1_12_M_09P.xml,1983,BIO,M,9,1599,466,66
graphvar/1983_BIO_LK1_13_M_07P.xml,1983,BIO,M,7,1600,507,26
graphvar/1983_BIO_LK1_15_M_08P.xml,1983,BIO,M,8,1694,536,31
graphvar/1983_BIO_LK1_16_W_08P.xml,1983,BIO,W,8,1810,550,10
graphvar/1983_BIO_LK1_17_W_07P.xml,1983,BIO,W,7,2022,555,30
graphvar/1983_BIO_LK1_18_W_07P.xml,1983,BIO,W,7,1953,524,34
graphvar/1983_BIO_LK1_19_M_08P.xml,1983,BIO,M,8,1967,512,36
graphvar/1983_BIO_LK1_20_M_04P.xml,1983,BIO,M,4,1137,397,10
graphvar/1983_BIO_LK2_02_M_07P.xml,1983,BIO,M,7,1316,441,56
graphvar/1983_BIO_LK2_03_M_07P.xml,1983,BIO,M,7,1540,450,45
graphvar/1983_BIO_LK2_04_M_07P.xml,1983,BIO,M,7,1274,401,31
graphvar/1983_BIO_LK2_06_W_07P.xml,1983,BIO,W,7,2067,583,60
graphvar/1983_BIO_LK2_07_M_05P.xml,1983,BIO,M,5,1665,477,91
graphvar/1983_BIO_LK2_08_W_09P.xml,1983,BIO,W,9,1683,513,72
graphvar/1983_BIO_LK2_09_W_05P.xml,1983,BIO,W,5,1633,482,74
graphvar/1983_BIO_LK2_10_M_09P.xml,1983,BIO,M,9,2278,535,79
graphvar/1983_BIO_LK2_11_W_03P.xml,1983,BIO,W,3,1489,455,64
graphvar/1983_BIO_LK2_12_W_14P.xml,1983,BIO,W,14,1985,536,54
graphvar/1983_BIO_LK2_13_W_05P.xml,1983,BIO,W,5,1345,401,60
graphvar/1983_BIO_LK2_15_M_08P.xml,1983,BIO,M,8,2028,554,74
